127.0.0.1, 2016-08-31 22:44:49, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 200, 0.223313
127.0.0.1, 2016-08-31 22:45:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.352312
127.0.0.1, 2016-08-31 22:45:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.833705
127.0.0.1, 2016-08-31 22:45:20, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.065306
127.0.0.1, 2016-08-31 22:45:22, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.291788
127.0.0.1, 2016-08-31 22:45:23, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.170108
127.0.0.1, 2016-08-31 22:45:27, GET, /datos/appadmin/index, HTTP/1.1, 200, 0.230060
127.0.0.1, 2016-08-31 22:45:28, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.614140
127.0.0.1, 2016-08-31 22:45:29, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.272070
127.0.0.1, 2016-08-31 22:45:31, GET, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 200, 0.252970
127.0.0.1, 2016-08-31 22:45:41, POST, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 303, 0.191378
127.0.0.1, 2016-08-31 22:45:42, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.257454
127.0.0.1, 2016-08-31 22:45:44, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.170996
127.0.0.1, 2016-08-31 22:45:51, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.192359
127.0.0.1, 2016-08-31 22:45:58, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.176210
127.0.0.1, 2016-08-31 22:46:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.319412
127.0.0.1, 2016-08-31 22:46:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.834397
127.0.0.1, 2016-08-31 22:46:42, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.174070
127.0.0.1, 2016-08-31 22:46:45, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.226708
127.0.0.1, 2016-08-31 22:46:45, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 200, 0.182161
127.0.0.1, 2016-08-31 22:46:50, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.178592
127.0.0.1, 2016-08-31 22:46:56, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 200, 0.177111
127.0.0.1, 2016-08-31 22:46:57, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.185705
127.0.0.1, 2016-08-31 22:46:59, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 200, 0.189747
127.0.0.1, 2016-08-31 22:47:05, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.186640
127.0.0.1, 2016-08-31 22:47:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.313777
127.0.0.1, 2016-08-31 22:47:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.765119
127.0.0.1, 2016-08-31 22:48:13, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.161907
127.0.0.1, 2016-08-31 22:48:13, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 200, 0.182928
