127.0.0.1, 2016-03-16 23:12:54, GET, /, HTTP/1.1, 303, 0.000714
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/default/index, HTTP/1.1, 200, 1.095483
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001168
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001255
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002774
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002777
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001006
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001157
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004813
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000427
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001570
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000552
127.0.0.1, 2016-03-16 23:12:55, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000464
127.0.0.1, 2016-03-16 23:12:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000720
127.0.0.1, 2016-03-16 23:12:56, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000420
127.0.0.1, 2016-03-16 23:12:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001206
127.0.0.1, 2016-03-16 23:12:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000744
127.0.0.1, 2016-03-16 23:12:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001386
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/default/site, HTTP/1.1, 303, 0.531745
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/default/index, HTTP/1.1, 200, 0.055783
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 200, 0.000555
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 200, 0.000754
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 200, 0.003763
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 200, 0.000600
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000561
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001412
127.0.0.1, 2016-03-16 23:13:02, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000552
